ticker,open,high,low,close,date,sma_10,sma_20,ema_10,ema_20
NFLX,196.1000061035156,286.80999755859375,195.4199981689453,270.29998779296875,2018-01-31,,,,
NFLX,266.4100036621094,297.3599853515625,236.11000061035156,291.3800048828125,2018-02-28,,,,
NFLX,292.75,333.9800109863281,275.8999938964844,295.3500061035156,2018-03-31,,,,
NFLX,291.94000244140625,338.82000732421875,271.2200012207031,312.4599914550781,2018-04-30,,,,
NFLX,310.3599853515625,356.1000061035156,305.7300109863281,351.6000061035156,2018-05-31,,,,
NFLX,353.8800048828125,423.2099914550781,352.82000732421875,391.4299926757813,2018-06-30,,,,
NFLX,385.4500122070313,419.7699890136719,328.0,337.45001220703125,2018-07-31,,,,
NFLX,335.8699951171875,376.80999755859375,310.92999267578125,367.6799926757813,2018-08-31,,,,
NFLX,366.4700012207031,383.2000122070313,335.8299865722656,374.1300048828125,2018-09-30,,,,
NFLX,375.8500061035156,386.7999877929687,271.2099914550781,301.7799987792969,2018-10-31,329.3559997558594,,329.3559997558594,
NFLX,304.5899963378906,332.04998779296875,250.0,286.1300048828125,2018-11-30,330.9390014648437,,321.4967279607599,
NFLX,293.19000244140625,298.7200012207031,231.22999572753903,267.6600036621094,2018-12-31,328.56700134277344,,311.70823263373256,
NFLX,259.2799987792969,358.8500061035156,256.5799865722656,339.5,2019-01-31,332.98200073242185,,316.76128124578116,
NFLX,337.17999267578125,371.489990234375,336.5,358.1000061035156,2019-02-28,337.54600219726564,,324.2774130380965,
NFLX,362.260009765625,379.0,342.4700012207031,356.55999755859375,2019-03-31,338.04200134277346,,330.14697386000506,
NFLX,359.0,384.7999877929687,342.2699890136719,370.5400085449219,2019-04-30,335.9530029296875,,337.4911619845354,
NFLX,374.0,385.989990234375,341.3900146484375,343.2799987792969,2019-05-31,336.53600158691404,,338.54367776540107,
NFLX,343.55999755859375,375.0,332.6499938964844,367.3200073242187,2019-06-30,336.5000030517578,,343.7757376851861,
NFLX,373.5,384.760009765625,305.80999755859375,322.989990234375,2019-07-31,331.38600158691406,,339.9965108759477,
NFLX,324.25,328.5799865722656,287.20001220703125,293.75,2019-08-31,330.5830017089844,329.96950073242186,331.5880543530481,329.96950073242186
NFLX,290.82000732421875,301.54998779296875,252.27999877929688,267.6199951171875,2019-09-30,328.73200073242185,329.8355010986328,319.9574981283462,324.03145257859
NFLX,267.3500061035156,308.75,257.010009765625,287.4100036621094,2019-10-31,330.7070007324219,329.63700103759766,314.0397718617577,320.5436955389252
NFLX,288.70001220703125,316.82000732421875,281.1400146484375,314.6600036621094,2019-11-30,328.22300109863284,330.60250091552734,314.15254128000345,319.9833439316094
NFLX,314.3900146484375,338.0,292.0199890136719,323.57000732421875,2019-12-31,324.77000122070314,331.1580017089844,315.86480783349714,320.32493092138174
